,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6474.364948180557,7886.889893054496,9769.584174298163,11395.978016105768,12305.387908253042,13494.685160177418,14048.34727252484,14942.274963289705,16241.575593063317,16441.790636191578,16583.003066378536,17926.78262631942,19080.69578931737,19356.52605840938,20614.799347851775,20417.775962329775,20654.488516763067,21070.07172231684,22834.28464870732,23591.159838373747,24495.015394571426,26452.23194915255,28048.151770649125,25170.832363247657,24134.47385940295,25849.96400603275,25496.843941721654,26442.426800696503,26895.05716653144,28399.050131016316,28453.715564597955,29348.41896859104,30253.714234562554,31135.88435633325,23384.29879074553,
1,Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,162.72632545509933,162.55596758787223,172.27102221707096,199.78491583575504,180.22877411624015,199.5172275251368,211.05438835274714,213.63659869217392,226.62132027216043,252.5686352988825,263.4990372878352,282.574925803775,297.071741398534,375.45627055133747,451.0346882982134,466.62177121346605,450.65258883821014,496.73054199321695,538.0692564581449,610.0895644209978,750.7693470007043,745.0576650436454,694.0535855240938,704.8988952707798,626.6736851773588,517.9228854072211,562.6941822869023,666.7441266244979,709.9917272255069,734.8665060577385,831.2020193240203,872.3913056454209,739.3036501020787,714.0099487940104,705.4472647749893,771.2599801329807,747.7671031498726,765.8900614188857,703.0288889376658,675.7398762683608,713.1778996041888,633.5484786494538,631.8101820543918,819.6659200620353,993.6681063281716,1129.7012042543586,1236.9941134666565,1382.7374416754717,1442.031011727332,1425.3071682635998,1659.6549221465673,1810.229164446703,1777.3039500500922,1748.9055935617966,1736.242219588508,1556.3164694966636,1446.533624150298,1629.4042728761808,1541.0316612628935,1511.3092587472215,1360.878644768825,1557.7226817454116
2,Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.77323370321478,59.86089999238288,58.45800869831388,78.70642877767533,82.09530653405174,101.10832516375811,137.59429796111453,160.89843416130424,129.10831096500564,129.32976036419913,156.5187713487061,159.5675089962582,135.31722798159134,143.1446495000806,173.6536247420259,186.51083834644703,197.44550755114457,224.22500156611625,247.35408780641745,275.7381153772322,272.6555102006862,264.1111971443359,,,,,,,,,,,,,,,,,,,,,179.426579211394,190.6838142950884,211.38207419893897,242.0313131750216,263.7336018662739,359.6931578661087,364.66354204230026,437.26874023513966,543.306526178281,591.190030208565,638.8458516072893,624.315454506615,614.2233423603916,556.0072208614432,512.0127781293565,516.6798622105431,485.66841872980785,494.1793498860289,516.7478708075578,
3,Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,107.93072167079146,113.08006188914878,118.82946064933489,123.44108946414374,131.85242274725422,138.52402903734904,144.32388180046678,128.5789569924298,129.64109253232786,143.71561664626051,195.43354377743114,169.11908307666806,200.1683855015325,241.71140506775842,333.19245866602677,377.788006927651,444.37437424906926,454.7901186726076,482.4774365960517,584.3739263876092,718.6917964041509,1316.9315119830405,1136.4624106984725,815.9007356922037,656.712769287136,651.5099724994149,584.9072795830085,584.1192733974451,561.361468547411,510.4191121416939,594.7257168312,558.4357663760574,547.6629473067354,445.65604515478043,378.94037654710024,462.8647976759077,523.7634171851342,515.2345409240245,513.6424637681457,528.5806067034664,525.4588960639247,539.3387351136703,627.7904855578023,706.9639810356666,854.5145724151732,1016.4864375988807,1252.6223038046137,1430.8391072817421,1707.4384335853003,1486.7110249594657,1687.5885255528337,1862.3651073950891,1965.1157500006302,2157.4945836875977,2212.914094523716,1894.322115184658,1673.8436809607392,1613.4904781424966,1704.1356984431768,1777.8528224727559,1709.7641292386074,1774.9212180302684
4,Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,710.9815629192404,642.3814788909793,619.9599033622438,623.4400472729551,637.7150980407777,758.2378806353909,685.2697533233381,756.2620652667405,792.3030486396806,890.5535922317262,947.7042620775147,865.6927295923904,656.3620152406555,441.2008419714437,328.6731486713863,397.17947925090664,522.643698386589,514.2951540585469,423.59368781051097,387.78426716775573,556.8361822353502,527.3335285366907,872.4944417912726,982.9609818888231,1255.5642382218387,1902.4221497593699,2599.5659479306732,3121.9960852808067,4080.9410152954893,3122.781743330889,3497.974487796103,4518.313350134517,4978.434435257451,5127.7172429432685,5094.112329301908,3127.8905978446105,1728.0237541802594,2313.220583596924,2524.942482631226,2177.799014759644,1631.4316908795063,2137.909393390838
5,Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,639.4847358482106,639.8659094457344,693.8734746338873,674.7933830694916,652.7743213965662,697.9955965765195,617.2304355155054,336.5869945046292,200.852219772323,367.27922507758115,586.4163396442615,750.6044491788258,1009.9772748382063,717.3800477456734,813.789396580449,1033.2425316241793,1126.6833401071663,1281.6598256178013,1425.1242186014215,1846.120120812074,2373.5812917005464,2673.7865842955907,2972.742923997986,3595.038056828926,4370.539924776899,4114.134899163423,4094.3483857449382,4437.142612226842,4247.630047481943,4413.062005289033,4578.633208121549,3952.802538075274,4124.05538986272,4531.019373768898,5287.663694469134,5396.215864347322,5332.160474568467,6494.385712885813
6,Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3238.69026097204,3496.532022966698,4218.271599184858,5342.168560442084,6320.809631685716,7169.1010055955585,7151.249909405988,7751.84330741357,9127.812279796244,11818.473342703319,12378.784511133777,10372.786050001001,9610.020615709116,8025.207640540357,7728.906694569428,7775.614216916356,10361.147765173684,12615.126176914258,14304.64059547419,15165.28125517322,18878.852313064308,19534.26363015376,20549.805575169547,16515.65839539236,16235.068037723866,18458.1739929996,19016.288187729322,18355.627860432116,18895.110661321,19262.308991040703,21854.24680306138,22970.51221336191,25067.240063913152,32272.845890987737,37966.18725243947,40064.224929219716,42674.7589681092,47804.84993402107,48719.65876990364,43504.21565232018,40849.76127667945,43333.97304147953,38684.566529921554,39538.35520644034,41302.382142618146,35770.918653002394,37474.7458403618,38964.662014361034,41793.318836537794,40898.41790639038,37416.69772032751,43047.68627040339
7,Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,304.1605183279767,322.2226974980056,354.31114941264303,398.2088016705777,461.7582903333111,569.9861155821033,1050.488493883792,1127.600548597609,1360.7147492745964,1521.6942081722798,1616.4397908039202,2126.800962356919,2796.552260207052,2793.331402049335,2536.9997917391775,2318.2813591998015,2289.35136963935,2188.8880057237734,2062.3781373932006,2169.5760446808235,2034.0979104816658,2122.543406821744,2892.6978605602053,2061.480923273838,2033.9227961754889,2017.8977629423832,2068.736600493987,2196.934451753973,2371.4046397437496,2501.0001753774004,2381.946704559245,2579.069902397381,2890.169219938976,2768.446110817286,2725.5546275698325,2948.5729882017877,3430.913519469361,4120.758814146587,4770.610863446424,5419.599571715429,6660.069688530599,5708.709285520445,6556.987974131764,7016.13664676607,7479.25408461195,7465.4554707058605,7414.31210944321,6359.900578383836,6177.2272354798115,6272.9497824175405,6635.381393696414,6562.969997632967,5724.286870233855,6412.389209565962
8,United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,26848.088176073812,30117.94893303078,33823.18166063683,28457.078034209928,33512.633423655876,42764.540556413885,44987.537990185185,40025.82262373171,34843.15962637485,32309.832713202795,29720.89771846339,23467.879317690476,23726.307049382525,22295.11870629524,24028.262497664633,27729.390593330518,26612.253110067995,26420.8598834079,25596.73938956253,25848.01625009404,27221.934411742495,28975.07995727117,29512.67479182541,26899.601766231022,28470.885858149006,33291.36625418382,31280.755864955503,31567.54630664394,33499.10277607856,36333.18733305172,39365.45964092448,41907.42146957013,41809.46216263107,44498.94050691372,32024.19778232454,33893.27724538781,39194.67526657882,40976.49641597139,42412.63649115188,43751.8173110723,38663.388255735976,38141.876889806845,40644.7911908818,43839.32448572339,42701.443045478234,36284.55524295523,
9,Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1155.8907166871506,850.3045786208776,1173.238105255167,1279.1137784785751,1272.8032040079718,1062.5434122744618,1141.0804315397945,1329.0585461877831,1322.5906375387387,1372.374173561739,1408.8653799310778,2097.022830102947,2844.8633123530763,2027.3372022265949,1948.2246859260242,2129.708360784126,2146.3649589950733,2520.920716002008,2758.834816495115,2776.322088256036,2927.8973568513493,3553.3775087968384,2659.7082424700716,2926.126485316977,3613.621709276364,3562.876058752479,3985.192468749621,2383.8674706553347,4333.483371680252,5735.359980584799,6823.53883710424,6969.119729045715,7483.140334257206,7408.708663631116,7721.354104603549,8213.12512693705,8289.5075682025,7774.736202800005,7708.099114540408,7208.373113553719,2593.4045633680003,3349.806300310357,4277.721572909535,5109.852244904026,5919.012338377136,7245.446856671969,9020.873323142736,8225.137582616446,10385.964431955526,12848.86419697053,13082.664325571988,13080.254732336658,12334.79824538929,13789.060424772022,12790.242473244707,14613.041824657957,11795.159386628686,10076.355240948116,8585.69474249794,10729.23257772171
